S_mw,N_units,B_mwh,G_min_mw,solar_used_mwh,bess_discharge_mwh,gas_gen_mwh,curtailed_mwh,solar_share_pct,bess_share_pct,gas_share_pct,renewable_share_pct,gas_hours_yr,bess_cycles_per_year,annual_co2_t,slcoe_per_mwh,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,total_cost_usd_yr,demand_mwh_yr,solar_lcoe_contrib,bess_lcoe_contrib,gas_lcoe_contrib
0,0,0.0,67.64,0.0,0.0,522524.0,0.0,0.0,0.0,100.0,0.0,8784,0.0,249714.0,45.4186,0.0,0.0,23732320.0,23732320.0,522524.0,0.0,0.0,45.4186
0,10,40.0,67.64,0.0,11.0,522512.0,0.0,0.0,0.0,100.0,0.0,8784,0.3,249709.0,48.1489,0.0,1426969.0,23731986.0,25158955.0,522524.0,0.0,2.7309,45.418
0,20,80.0,67.64,0.0,23.0,522501.0,0.0,0.0,0.0,100.0,0.0,8784,0.3,249703.0,50.8792,0.0,2853938.0,23731652.0,26585590.0,522524.0,0.0,5.4618,45.4174
0,30,120.0,67.64,0.0,34.0,522490.0,0.0,0.0,0.01,99.99,0.01,8784,0.3,249698.0,53.6095,0.0,4280907.0,23731318.0,28012225.0,522524.0,0.0,8.1928,45.4167
0,40,160.0,67.64,0.0,45.0,522479.0,0.0,0.0,0.01,99.99,0.01,8784,0.3,249692.0,56.3398,0.0,5707876.0,23730985.0,29438861.0,522524.0,0.0,10.9237,45.4161
0,50,200.0,67.64,0.0,57.0,522467.0,0.0,0.0,0.01,99.99,0.01,8784,0.3,249687.0,59.07,0.0,7134845.0,23730651.0,30865496.0,522524.0,0.0,13.6546,45.4154
0,60,240.0,67.64,0.0,68.0,522456.0,0.0,0.0,0.01,99.99,0.01,8783,0.3,249682.0,61.8003,0.0,8561814.0,23730317.0,32292131.0,522524.0,0.0,16.3855,45.4148
0,70,280.0,67.64,0.0,79.0,522445.0,0.0,0.0,0.02,99.98,0.02,8783,0.3,249676.0,64.5306,0.0,9988783.0,23729984.0,33718767.0,522524.0,0.0,19.1164,45.4142
0,80,320.0,67.64,0.0,90.0,522433.0,0.0,0.0,0.02,99.98,0.02,8783,0.3,249671.0,67.2609,0.0,11415752.0,23729651.0,35145403.0,522524.0,0.0,21.8473,45.4135
0,90,360.0,67.64,0.0,102.0,522422.0,0.0,0.0,0.02,99.98,0.02,8783,0.3,249665.0,69.9911,0.0,12842721.0,23729318.0,36572039.0,522524.0,0.0,24.5783,45.4129
0,100,400.0,67.64,0.0,113.0,522411.0,0.0,0.0,0.02,99.98,0.02,8782,0.3,249660.0,72.7214,0.0,14269690.0,23728986.0,37998676.0,522524.0,0.0,27.3092,45.4123
25,0,0.0,67.38,37443.0,0.0,485081.0,0.0,7.17,0.0,92.83,7.17,8784,0.0,231820.0,47.9094,2438000.0,0.0,22595790.0,25033790.0,522524.0,4.6658,0.0,43.2436
25,10,40.0,67.38,37443.0,11.0,485070.0,0.0,7.17,0.0,92.83,7.17,8784,0.3,231815.0,50.6397,2438000.0,1426969.0,22595456.0,26460425.0,522524.0,4.6658,2.7309,43.2429
25,20,80.0,67.38,37443.0,23.0,485059.0,0.0,7.17,0.0,92.83,7.17,8784,0.3,231809.0,53.3699,2438000.0,2853938.0,22595122.0,27887060.0,522524.0,4.6658,5.4618,43.2423
